M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.06259153038263321, avg_cost=3242.600830078125
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.05799984559416771, avg_cost=3113.558349609375
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.05093830078840256, avg_cost=3182.530029296875

alpha=0.044444444444444446
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.0002387596614426002, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.00022172965691424906, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.00046426928020082414, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.00045998586574569345, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.0004126071580685675, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.0003511151298880577, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.01281678769737482, avg_cost=1752.6807861328125
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.012437906116247177, avg_cost=1752.6807861328125
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.00041075132321566343, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.0005525325541384518, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.04965990409255028, avg_cost=3043.386474609375
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.048134781420230865, avg_cost=3043.386474609375
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.013467771001160145, avg_cost=1688.2261962890625
