M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.0003061424649786204, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.0006732869660481811, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.0005584160680882633, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.000411289423936978, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.000392103916965425, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.03374749794602394, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.03318525478243828, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.0004643213760573417, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.0009389504557475448, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.07824620604515076, avg_cost=3043.386474609375
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.0701724961400032, avg_cost=3043.386474609375
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.033615972846746445, avg_cost=1718.765380859375
M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.03277222067117691, avg_cost=1915.453857421875
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.03184503689408302, avg_cost=1689.6666259765625
M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.08535391092300415, avg_cost=3236.938232421875
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.07616545259952545, avg_cost=3047.029541015625
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.08033528923988342, avg_cost=3184.179931640625

alpha=0.02510204081632653
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.0006123640923760831, avg_cost=13.791701316833496
